Date,Open,High,Low,Close*,Adj Close**
1985-08-02,1284.6,1284.6,1280.4,1280.4,1280.4
1985-08-01,1271.7,1288.4,1271.7,1287.2,1287.2
1985-07-31,1252.3,1261.7,1246.8,1261.7,1261.7
1985-07-30,1248.9,1253.9,1247.3,1252.3,1252.3
1985-07-29,1243.3,1249.6,1243.3,1248.9,1248.9
1985-07-26,1221.7,1239.7,1215.4,1239.7,1239.7
1985-07-25,1234.9,1234.9,1221.7,1221.7,1221.7
1985-07-24,1233.2,1237.2,1233.2,1236.2,1236.2
1985-07-23,1237.6,1237.6,1229.1,1233.1,1233.1
1985-07-22,1252.5,1253.7,1239.9,1241.1,1241.1
1985-07-19,1248.6,1252.5,1246.2,1252.5,1252.5
1985-07-18,1247.3,1250.4,1245,1248.6,1248.6
1985-07-17,1242.9,1248.2,1242.9,1247.3,1247.3
1985-07-16,1243.6,1250.8,1239,1239.5,1239.5
1985-07-15,1231.5,1243.6,1231.5,1243.6,1243.6
1985-07-12,1238.4,1239.9,1223.8,1230.8,1230.8
1985-07-11,1234.8,1240.7,1234.8,1238.4,1238.4
1985-07-10,1233.5,1233.5,1220.8,1230.4,1230.4
1985-07-09,1256.7,1256.7,1239.5,1239.6,1239.6
1985-07-08,1258.4,1258.4,1254.7,1258.2,1258.2
1985-07-05,1258.5,1266.8,1258.5,1260,1260
1985-07-04,1239.3,1249.1,1235.6,1249.1,1249.1
1985-07-03,1249,1249,1236.8,1239.3,1239.3
1985-07-02,1250,1256.9,1250,1250.8,1250.8
1985-07-01,1234.9,1246.9,1228.7,1246.8,1246.8
1985-06-28,1234.3,1241.9,1228,1234.9,1234.9
1985-06-27,1236.5,1237.2,1221.5,1234.3,1234.3
1985-06-26,1244.2,1244.2,1234.3,1236.5,1236.5
1985-06-25,1260.9,1260.9,1236.9,1248.3,1248.3
1985-06-24,1266.6,1270.7,1266.6,1266.6,1266.6
1985-06-21,1274.3,1274.3,1261.6,1262,1262
1985-06-20,1281.7,1281.7,1269.8,1276.3,1276.3
1985-06-19,1284,1287.7,1282.5,1284.1,1284.1
1985-06-18,1284.4,1287.9,1283.4,1284,1284
1985-06-17,1278.5,1285.3,1278.5,1284.4,1284.4
1985-06-14,1275.5,1275.5,1266.2,1275.5,1275.5
1985-06-13,1284.7,1284.7,1278.9,1278.9,1278.9
1985-06-12,1307.6,1307.6,1291.1,1291.4,1291.4
1985-06-11,1301.4,1308.9,1301.4,1308.1,1308.1
1985-06-10,1310.6,1311.1,1298,1299.6,1299.6
1985-06-07,1322,1323.1,1305,1310.6,1310.6
1985-06-06,1333.6,1333.6,1322,1322,1322
1985-06-05,1336.2,1336.2,1331.3,1335.9,1335.9
1985-06-04,1324.6,1336.7,1324.5,1336.6,1336.6
1985-06-03,1315,1325,1315,1324.6,1324.6
1985-05-31,1314.7,1315.8,1309.6,1313,1313
1985-05-30,1312,1315.8,1311.1,1314.7,1314.7
1985-05-29,1317.4,1317.4,1305.9,1312,1312
1985-05-28,1313.9,1319,1313.9,1317.4,1317.4
1985-05-27,1313.8,1313.8,1313.8,1313.8,1313.8
1985-05-24,1323.5,1323.5,1308.3,1313.8,1313.8
1985-05-23,1332.1,1332.1,1325.3,1325.3,1325.3
1985-05-22,1334.1,1337.3,1332.7,1333.8,1333.8
1985-05-21,1330.8,1337.8,1330.7,1334.1,1334.1
1985-05-20,1327.4,1330.8,1321.1,1330.8,1330.8
1985-05-17,1335.9,1335.9,1327.1,1327.4,1327.4
1985-05-16,1342.4,1344.8,1336.1,1344.2,1344.2
1985-05-15,1327.4,1342.4,1327.4,1342.4,1342.4
1985-05-14,1333,1335.7,1322.7,1326.5,1326.5
1985-05-13,1317,1333,1317,1333,1333
1985-05-10,1308.1,1315.8,1308.1,1315.8,1315.8
1985-05-09,1307.9,1308.9,1304.1,1306.3,1306.3
